tag,n,wins,win_rate,sum,mean,median,ci_lo,ci_hi,lodo_days,lodo_flips,thin,early_read
C_3day  (③ AND day),7,3,42.9,-133.0,-19.0,-1,-71.1,31.7,3,1,True,TOO THIN (n<15; n=1-day discipline -> not actionable)
C_shortday (short AND day),13,7,53.8,-70.0,-5.4,4,-52.3,40.7,4,1,True,TOO THIN (n<15; n=1-day discipline -> not actionable)
