tag,n,wins,win_rate,sum,mean,median,ci_lo,ci_hi,lodo_days,lodo_flips,thin,early_read
C_3day  (③ AND day),2,1,50.0,-75.0,-37.5,-37.5,-148.0,73.0,2,1,True,TOO THIN (n<15; n=1-day discipline -> not actionable)
C_shortday (short AND day),14,7,50.0,-478.0,-34.1,-40.5,-87.4,19.9,7,0,True,TOO THIN (n<15; n=1-day discipline -> not actionable)
