tag,n,wins,win_rate,sum,mean,median,ci_lo,ci_hi,lodo_days,lodo_flips,thin
③ x all,6,2,33.3,-41.0,-6.8,-10.5,-62.8,44.2,4,2,True
③ x night,4,1,25.0,34,8.5,-10.5,-23.2,42.5,2,1,True
③ x day,2,1,50.0,-75.0,-37.5,-37.5,-148.0,73.0,2,1,True
short x all,28,13,46.4,-559.0,-20.0,-10.5,-49.8,10.1,7,0,False
short x night,14,6,42.9,-81.0,-5.8,-10.5,-31.5,20.9,5,1,True
short x day,14,7,50.0,-478.0,-34.1,-40.5,-87.4,19.9,7,0,True
