tag,n,wins,win_rate,sum,mean,median,ci_lo,ci_hi,lodo_days,lodo_flips,thin
③ x all,22,8,36.4,-418.0,-19.0,-15.0,-43.5,4.6,8,0,False
③ x night,14,5,35.7,-137.0,-9.8,-19.0,-33.7,14.1,7,0,True
③ x day,8,3,37.5,-281.0,-35.1,-7.0,-85.0,15.4,4,0,True
short x all,61,29,47.5,-968.0,-15.9,-1,-33.9,1.6,11,0,False
short x night,38,17,44.7,-574.0,-15.1,-9.0,-30.4,-0.2,11,0,False
short x day,23,12,52.2,-394.0,-17.1,4,-56.2,22.0,9,0,False
