tag,n,wins,win_rate,sum,mean,median,ci_lo,ci_hi,lodo_days,lodo_flips,thin
③ x all,5,1,20.0,-114.0,-22.8,-21,-76.0,28.0,3,1,True
③ x night,4,1,25.0,34,8.5,-10.5,-23.2,42.5,2,1,True
③ x day,1,0,0.0,-148.0,-148.0,-148.0,-148.0,-148.0,1,0,True
short x all,24,11,45.8,-405.0,-16.9,-10.5,-48.8,15.1,5,0,False
short x night,14,6,42.9,-81.0,-5.8,-10.5,-31.5,20.9,5,1,True
short x day,10,5,50.0,-324.0,-32.4,-40.5,-98.4,33.5,5,0,True
